id,full_name,email,password,role,job_category,specific_role,skills,experience_level,experience_years,location,success_rate_job,jobs_completed,client_rating,rehire_rate,min_budget_idr,hourly_rate_usd,earnings_usd,platform_origin,project_type,is_available,profile_verified,created_at
1,"Balidin Dongoran, S.T.",balidin.dongoran.s.t.462@konekin.id,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,React Developer,"Next.js, Git, Node.js, Docker, React, PostgreSQL, REST API",Expert,13,Medan,83.5,461,4.39,62.8,1337000,37.51,1383.67,Konekin,Fixed,1,1,2024-01-29 9:39:50
2,Okto Jailani,okto.jailani610@outlook.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Full Stack Developer,Full Stack Developer,"PostgreSQL, TypeScript, Next.js, REST API, Git",Intermediate,5,Tangerang,87.5,135,4.15,66.5,2760000,71.65,1819.7,PeoplePerHour,Retainer,1,1,2025-05-16 13:01:49
3,R. Lantar Anggraini,r..lantar.anggraini94@gmail.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Next.js Developer,"Vue.js, REST API, TypeScript, Next.js, PostgreSQL, React, Git",Expert,9,Bandung,99.8,394,4.85,78.1,9619000,81.61,7071.04,Freelancer,Retainer,0,1,2023-06-09 21:28:20
4,Darimin Pradipta,darimin.pradipta329@outlook.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Vue.js Developer,"TypeScript, Laravel, REST API, React, MySQL, Vue.js, Docker",Expert,7,Manado,84.1,182,3.98,80.8,5252000,90.89,3163.39,Koneksi Pribadi,Fixed,0,1,2024-11-09 19:08:38
5,Kanda Napitupulu,kanda.napitupulu56@konekin.id,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Full Stack Developer,Laravel Developer,"REST API, Redis, React",Beginner,1,Semarang,43.9,34,2.15,23.2,4456000,61.19,2469.18,Upwork,Fixed,0,0,2025-06-28 15:02:33
6,"Puji Andriani, S.H.",puji.andriani.s.h.862@yahoo.com,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Full Stack Developer,Next.js Developer,"Redis, PostgreSQL, Docker, REST API, TypeScript",Intermediate,3,Balikpapan,62.4,89,3.53,45.2,2064000,89.95,2062.56,Fiverr,Milestone,1,1,2024-09-09 6:39:01
7,Yessi Ardianto,yessi.ardianto521@icloud.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,Next.js Developer,"Git, Redis, REST API",Beginner,1,Balikpapan,59.2,29,2.78,37.9,4635000,20.19,2990.82,Freelancer,Retainer,1,1,2025-08-14 12:14:39
8,Nalar Anggraini,nalar.anggraini956@konekin.id,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,Node.js Developer,"MySQL, REST API, Docker, Git, Vue.js, Node.js, Laravel",Expert,11,Yogyakarta,96.9,196,5,76.6,4536000,84.2,3940.36,Koneksi Pribadi,Milestone,1,1,2024-05-12 21:20:15
9,Darijan Sirait,darijan.sirait933@icloud.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Full Stack Developer,Next.js Developer,"Redis, Docker, React, MySQL, Next.js",Intermediate,4,Balikpapan,76.4,141,3.84,57.9,4929000,92.69,4649.82,Konekin,Fixed,1,1,2023-08-26 1:31:36
10,Cinta Tamba,cinta.tamba233@outlook.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,React Developer,"Redis, PostgreSQL, Laravel, Git, MySQL",Intermediate,5,Bogor,68.2,41,3.29,56.4,7153000,85.44,5996.73,Upwork,Milestone,1,1,2025-11-19 16:28:15
11,Tgk. Yani Gunawan,tgk..yani.gunawan544@yahoo.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,React Developer,"Git, Vue.js, Node.js",Beginner,2,Bekasi,42,13,1.89,39.8,4965000,71.24,3936.86,Upwork,Fixed,0,1,2025-07-13 15:38:08
12,R. Virman Waluyo,r..virman.waluyo162@icloud.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Node.js Developer,"REST API, PostgreSQL, Node.js, Docker, Redis, Laravel, React",Expert,7,Solo,94.8,326,5,65.8,4894000,92.15,3253.06,PeoplePerHour,Retainer,1,1,2023-07-31 9:54:19
